核能(Nuclear)		核三#1	951.0	712.8	74.953%	燃料限制	
核能(Nuclear)		核三#2	951.0	933.5	98.160%	 	
核能(Nuclear)		小計	1902.0(3.454%)	1646.3(5.176%)			
燃煤(Coal)		林口#1	800.0	756.2	94.525%	 	
燃煤(Coal)		林口#2	800.0	756.4	94.550%	 	
燃煤(Coal)		林口#3	800.0	753.9	94.238%	 	
燃煤(Coal)		台中#1	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#2	550.0	367.2	66.764%	 	
燃煤(Coal)		台中#3	550.0	335.6	61.018%	 	
燃煤(Coal)		台中#4	550.0	348.4	63.345%	 	
燃煤(Coal)		台中#5	550.0	541.6	98.473%	環保測試 	
燃煤(Coal)		台中#6	550.0	364.4	66.255%	 	
燃煤(Coal)		台中#7	550.0	348.9	63.436%	 	
燃煤(Coal)		台中#8	550.0	350.0	63.636%	 	
燃煤(Coal)		台中#9	550.0	351.8	63.964%	運轉限制	
燃煤(Coal)		台中#10	550.0	341.4	62.073%	運轉限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	255.8	46.509%	 	
燃煤(Coal)		興達#4(註12)	550.0	277.7	50.491%	 	
燃煤(Coal)		大林#1	800.0	761.0	95.125%	 	
燃煤(Coal)		大林#2	800.0	759.4	94.925%	 	
燃煤(Coal)		小計	10600.0(19.247%)	7669.7(24.115%)			
汽電共生(Co-Gen)		汽電共生	631.4	766.6	-	 	
汽電共生(Co-Gen)		小計	631.4(1.146%)	766.6(2.410%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	602.1	92.838%	 	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	609.5	93.979%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	413.5	68.917%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	566.8	94.467%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	571.7	95.283%	 	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.624%)	2763.6(8.689%)			
