datetime,gen_north,load_north,gen_central,load_central,gen_south,load_south,gen_east,load_east
2024-08-16 00:00,890.5,979.8,1011.6,890.7,1011.3,1007.1,6.8,42.7
2024-08-16 00:10,922.6,974.2,1002.6,888.0,985.5,1012.8,6.9,42.5
2024-08-16 00:20,928.5,976.7,998.4,873.6,972.9,1014.1,6.9,42.4
2024-08-16 00:30,929.5,969.1,997.1,881.2,964.1,1005.6,6.7,41.5
2024-08-16 00:40,902.9,964.3,996.8,860.7,958.9,999.3,6.8,40.9
2024-08-16 00:50,904.6,956.4,995.1,858.9,952.2,1002.3,7.0,41.3
2024-08-16 01:00,882.7,937.6,989.7,844.1,950.1,1006.9,7.1,41.0
2024-08-16 01:10,883.8,941.6,984.4,849.4,946.2,989.8,6.9,40.4
2024-08-16 01:20,876.8,927.0,974.1,852.5,951.8,990.5,6.7,39.4
2024-08-16 01:30,912.1,915.1,922.4,846.5,940.6,981.0,6.9,39.5
2024-08-16 01:40,916.3,924.2,903.2,837.8,942.5,967.6,6.8,39.3
2024-08-16 01:50,935.6,909.6,876.2,846.5,947.5,971.4,6.9,38.8
2024-08-16 02:00,924.4,905.0,863.3,838.9,945.9,957.9,6.9,38.8
2024-08-16 02:10,937.9,900.0,835.5,828.8,950.6,964.1,6.9,38.0
2024-08-16 02:20,938.6,895.8,829.7,835.3,961.0,966.9,7.0,38.4
2024-08-16 02:30,906.8,878.0,823.9,823.9,963.5,961.2,6.9,37.9
2024-08-16 02:40,937.1,884.1,808.5,834.1,970.2,966.6,6.8,37.7
2024-08-16 02:50,911.8,883.0,800.0,815.6,964.5,946.6,6.8,37.9
2024-08-16 03:00,906.8,869.7,800.5,817.4,966.5,956.2,6.8,37.3
2024-08-16 03:10,907.5,875.4,794.5,821.1,947.6,922.6,7.0,37.4
2024-08-16 03:20,893.7,870.9,795.0,799.7,941.4,929.1,7.2,37.6
2024-08-16 03:30,894.5,869.8,795.2,803.7,946.6,931.7,7.2,38.4
2024-08-16 03:40,883.8,867.3,794.9,807.6,954.9,927.9,7.3,38.0
2024-08-16 03:50,901.5,877.9,790.7,813.7,955.7,926.0,7.3,37.5
